State,Year,Month,Indicated,Combined_Value
California,2021,3.0,Anxiety,33.5
California,2021,3.0,Depression,19.006666666666668
California,2021,4.0,Anxiety,29.5
California,2021,4.0,Depression,18.924280762564994
California,2021,5.0,Anxiety,26.5
California,2021,5.0,Depression,16.8935291113381
California,2021,6.0,Anxiety,25.95
California,2021,6.0,Depression,17.842313432835823
California,2021,7.0,Anxiety,26.9
California,2021,7.0,Depression,18.824516129032254
California,2021,8.0,Anxiety,27.0
California,2021,8.0,Depression,15.474156293222684
California,2021,9.0,Anxiety,28.099999999999998
California,2021,9.0,Depression,17.634794520547945
California,2021,10.0,Depression,16.0427807486631
California,2021,11.0,Depression,22.535211267605636
California,2021,12.0,Anxiety,26.15
California,2021,12.0,Depression,19.521867469879517
California,2022,1.0,Anxiety,28.4
California,2022,1.0,Depression,30.484864864864868
California,2022,2.0,Depression,20.0
California,2022,3.0,Anxiety,27.35
California,2022,3.0,Depression,27.943695652173915
California,2022,4.0,Anxiety,28.0
California,2022,4.0,Depression,19.7
California,2022,5.0,Depression,22.727272727272727
California,2022,6.0,Anxiety,29.450000000000003
California,2022,6.0,Depression,22.444344262295083
California,2022,7.0,Anxiety,30.1
California,2022,7.0,Depression,21.641152192605333
California,2022,8.0,Depression,19.687628442252365
California,2022,9.0,Anxiety,33.5
California,2022,9.0,Depression,24.041952506596306
California,2022,10.0,Anxiety,31.6
California,2022,10.0,Depression,22.50663366336634
California,2022,11.0,Anxiety,32.8
California,2022,11.0,Depression,22.56536173089926
California,2022,12.0,Anxiety,27.1
California,2022,12.0,Depression,19.703333333333337
California,2023,1.0,Anxiety,27.0
California,2023,1.0,Depression,19.778943089430896
California,2023,2.0,Anxiety,28.2
California,2023,2.0,Depression,20.135572139303484
California,2023,3.0,Anxiety,26.549999999999997
California,2023,3.0,Depression,20.75867088607595
California,2023,4.0,Anxiety,29.7
California,2023,4.0,Depression,21.206791314837155
California,2023,5.0,Depression,19.09196740395809
California,2023,6.0,Anxiety,26.75
California,2023,6.0,Depression,21.824069767441863
California,2023,7.0,Anxiety,29.3
California,2023,7.0,Depression,21.126642120765833
California,2023,8.0,Anxiety,22.8
California,2023,8.0,Depression,19.82450867052023
California,2023,9.0,Anxiety,29.7
California,2023,9.0,Depression,22.371281489594743
California,2023,10.0,Anxiety,29.4
California,2023,10.0,Depression,19.837288135593223
California,2023,11.0,Depression,17.78006166495375
California,2023,12.0,Depression,19.416941694169417
California,2024,1.0,Anxiety,17.1
California,2024,1.0,Depression,17.55
California,2024,2.0,Anxiety,18.3
California,2024,2.0,Depression,18.0
California,2024,3.0,Anxiety,14.9
California,2024,3.0,Depression,15.25
California,2024,4.0,Anxiety,16.2
California,2024,4.0,Depression,16.725
California,2024,5.0,Anxiety,17.2
California,2024,5.0,Depression,16.45
California,2024,6.0,Anxiety,16.5
California,2024,6.0,Depression,15.95
California,2024,7.0,Anxiety,18.3
California,2024,7.0,Depression,18.25
California,2024,8.0,Anxiety,19.4
California,2024,8.0,Depression,19.95
California,2024,10.0,Depression,21.617852161785216
California,2024,11.0,Depression,18.04123711340206
California,2024,12.0,Depression,18.270401948842874
Colorado,2019,1.0,Depression,16.883116883116884
Colorado,2019,2.0,Depression,15.656565656565657
Colorado,2019,3.0,Depression,15.92356687898089
Colorado,2019,4.0,Depression,16.86159844054581
Colorado,2019,5.0,Depression,16.99266503667482
Colorado,2019,6.0,Depression,16.032608695652172
Colorado,2019,7.0,Depression,18.248175182481752
Colorado,2019,8.0,Depression,16.58374792703151
Colorado,2019,9.0,Depression,15.393939393939393
Colorado,2019,10.0,Depression,15.625
Colorado,2019,11.0,Depression,17.41176470588235
Colorado,2019,12.0,Depression,19.375
Colorado,2020,1.0,Depression,14.86220472440945
Colorado,2020,2.0,Depression,18.174726989079563
Colorado,2020,3.0,Depression,15.422885572139302
Colorado,2020,4.0,Anxiety,32.6
Colorado,2020,4.0,Depression,21.398646188850968
Colorado,2020,5.0,Anxiety,28.875
Colorado,2020,5.0,Depression,20.773371559633027
Colorado,2020,6.0,Anxiety,30.1
Colorado,2020,6.0,Depression,21.046842709529276
Colorado,2020,7.0,Anxiety,36.199999999999996
Colorado,2020,7.0,Depression,18.93715095311695
Colorado,2020,8.0,Anxiety,32.6
Colorado,2020,8.0,Depression,22.30261939218524
Colorado,2020,9.0,Anxiety,33.46666666666667
Colorado,2020,9.0,Depression,20.37891181988743
Colorado,2020,10.0,Anxiety,37.3
Colorado,2020,10.0,Depression,21.977303664921468
Colorado,2020,11.0,Anxiety,40.0
Colorado,2020,11.0,Depression,23.62489104116223
Colorado,2020,12.0,Anxiety,39.4
